职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
Python,6-8K,大专,经验不限,贾维斯机器人少儿编程,上饶,培训/辅导机构,100-499人,未融资,信州区,明珠广场,28.457,117.962436,Python C++,"['餐补', '通讯补贴', '团建聚餐', '免费工装', '宿舍有空调', '有无线网', '加班补助', '带薪年假', '底薪加提成', '绩效奖金', '高温补贴', '夜班补助', '住房补贴', '股票期权', '保底工资', '年终奖', '员工旅游', '全勤奖', '包住', '工龄奖']",月薪,7000.0
Python 编程老师,4-6K,大专,经验不限,恒悦机器人科技有...,湘潭,培训/辅导机构,0-20人,,岳塘区,市政府,27.835388,112.944918,Python C/C++,"['生日福利', '五险一金', '底薪加提成', '带薪年假', '保底工资', '节日福利', '全勤奖', '餐补', '绩效奖金', '免费工装']",月薪,5000.0
python,6-10K,本科,3-5年,广东联安祥瑞健康...,梅州,医疗健康,20-99人,,梅江区,梅州站,24.261511,116.128799,Python PyTorch MySQL Linux开发/部署经验 运维开发经验 技术专员 python,[],月薪,8000.0
python,4-6K,大专,1-3年,河南省亮辰网络科技,鹤壁,计算机软件,0-20人,,淇滨区,职业技术学院,35.723337,114.307361,Python Django Flask Scrapy Docker Nginx MySQL Redis,[],月薪,5000.0
python老师,3-5K,本科,1-3年,承德炎创教育科技,承德,培训/辅导机构,0-20人,未融资,双桥区,翠桥路,40.965577,117.93525,Python PyTorch 其他 团队管理经验 爬虫经验 机器学习经验,"['底薪加提成', '带薪年假', '全勤奖', '团建聚餐', '保底工资', '意外险', '绩效奖金', '补充医疗保险']",月薪,4000.0
Python 开发工程师,6-10K,本科,经验不限,文翰,十堰,电子商务,20-99人,未融资,茅箭区,三堰,32.627666,110.780273,Python MySQL,"['生日福利', '团建聚餐', '加班补助', '保底工资', '绩效奖金', '年终奖']",月薪,8000.0
python老师,4-5K,本科,在校/应届,宿州一加少儿编程,宿州,培训/辅导机构,20-99人,,埇桥区,华夏世贸广场,33.633709,116.963145,C++ Django MySQL 架构设计经验 Python,[],月薪,4500.0
Python,9-14K,大专,经验不限,上海翰翰智能科技,上海,电气机械/器材,20-99人,,浦东新区,陆家嘴,31.234619,121.513895,无,[],月薪,11500.0
python,5-6K,大专,1-3年,新普诺科技运城分公司,运城,电子商务,0-20人,不需要融资,盐湖区,中银大道,35.036552,110.990692,爬虫经验 MySQL Python 可兼职,"['绩效奖金', '加班补助', '年终奖', '底薪加提成', '团队奖金', '全勤奖', '带薪年假']",月薪,5500.0
Python创新 算法工程师,8-13K,本科,经验不限,禾研科技,石家庄,自动化设备,0-20人,未融资,长安区,跃进,38.048717,114.521896,Java Scrapy C 数据开发  机器学习  算法工程 Redis Python,"['底薪加提成', '住房补贴', '节日福利', '绩效奖金', '五险一金', '年终奖']",月薪,10500.0
Python 六险一金 大厂,15-30K,本科,经验不限,某大型计算机软件公司,成都,计算机软件,10000人以上,不需要融资,,,30.760559,103.895788,Python Django MySQL,"['绩效奖金', '团建聚餐', '年终奖', '免费班车', '法定节假日三薪', '节假日加班费', '意外险', '节日福利', '保底工资', '五险一金', '企业年金', '加班补助', '带薪年假', '股票期权', '交通补助', '补充医疗保险', '零食下午茶', '夜班补助', '定期体检', '员工旅游']",月薪,22500.0
Python AI 开发工程师,25-40K,本科,3-5年,北京某中型已上市计算机软件公司,南京,计算机软件,500-999人,已上市,,,31.982319,118.763699,Python Django Flask Redis asyncio,"['节日福利', '零食下午茶', '团建聚餐', '通讯补贴', '年终奖', '带薪年假', '五险一金']",月薪,32500.0
Python（有odoo项目经验/驻派南昌双胞胎）,10-13K,本科,3-5年,唐普,九江,计算机软件,100-499人,B轮,浔阳区,十里,29.701885,115.970728,Python Django MySQL,"['五险一金', '股票期权', '带薪年假', '定期体检', '零食下午茶', '加班补助', '全勤奖', '通讯补贴', '交通补助', '年终奖', '餐补']",月薪,11500.0
Python,3-4K,大专,经验不限,湖南湘江新区忆鹏...,长沙,培训/辅导机构,100-499人,,岳麓区,麓山路,28.173206,112.92291,Python Golang Django Flask Numpy Pandas MySQL Redis 团队管理经验 分布式经验,"['年终奖', '五险一金']",月薪,3500.0
Python,5-10K,本科,经验不限,河间市睿德培训学...,沧州,培训/辅导机构,20-99人,,河间市,城垣中路,38.446436,116.090052,网络爬虫技术 C++ 机器人 计算机软件 人工智能 软件工程师 Python 信息化,[],月薪,7500.0
Python讲师,5-10K,本科,1年以内,欣芮教育少儿编程,营口,在线教育,1000-9999人,C轮,站前区,万达,40.664778,122.235869,C/C++ C++ 机器学习/算法工程 计算机相关专业 数学/统计相关专业 Python Python工程师,[],月薪,7500.0
Python老师,5-8K,本科,经验不限,包头市雅德教育,包头,在线教育,20-99人,未融资,青山区,大连开发区,40.643808,109.862695,算法基础 数据结构,"['定期体检', '股票期权', '年终奖', '零食下午茶', '五险一金', '全勤奖', '交通补助', '补充医疗保险', '节日福利', '带薪年假', '员工旅游']",月薪,6500.0
Python,4-8K,大专,经验不限,漳州招摇山宠物用品,漳州,宠物服务,100-499人,,芗城区,大通北路,24.515277,117.65472,Python Pandas MySQL 爬虫经验 机器学习经验,[],月薪,6000.0
python,10-15K,大专,3-5年,中软国际,长沙,计算机软件,10000人以上,已上市,天心区,新开铺,28.094114,112.973896,Python 运维开发经验,"['五险一金', '定期体检', '节日福利', '零食下午茶', '年终奖', '免费班车', '节假日加班费', '带薪年假']",月薪,12500.0
Python Web 后端工程师,15-25K,本科,3-5年,深圳市易京科技,深圳,计算机软件,100-499人,不需要融资,福田区,车公庙,22.542802,114.048352,其他 Python,"['员工旅游', '带薪年假', '绩效奖金', '五险一金']",月薪,20000.0
Python 教研（可全职居家办公）,15-30K,本科,3-5年,成都燃点未来教育咨询,广州,培训/辅导机构,500-999人,不需要融资,增城区,新塘广场,23.15862,113.65924,Python Django Flask Docker PostgreSQL Spark MySQL Hadoop 爬虫经验 架构设计经验,"['交通补助', '工龄奖', '加班补助', '绩效奖金', '保底工资', '员工旅游', '法定节假日三薪', '团建聚餐', '节假日加班费', '年终奖', '生日福利', '全勤奖', '免费班车', '股票期权', '节日福利', '底薪加提成', '夜班补助', '带薪年假', '意外险', '五险一金']",月薪,22500.0
Python 中级工程师,8-10K,本科,3-5年,佛山市心源科技,佛山,计算机软件,0-20人,不需要融资,南海区,狮山,23.120057,113.000884,Java Nginx 团队管理经验 PostgreSQL 机器学习经验 Redis 爬虫经验 PyTorch Docker MongoDB 架构设计经验 Linux开发/部署经验 Python Kubernetes TensorFlow,"['餐补', '全勤奖', '五险一金']",月薪,9000.0
Python 工程师,15-20K,本科,5-10年,深圳市唯特视科技,北京,电子/半导体/集成电路,20-99人,未融资,大兴区,清源,39.792538,116.33175,PyTorch 分布式经验 MySQL Python,"['股票期权', '项目奖', '年终奖', '绩效奖金', '五险一金']",月薪,17500.0
Python,3-8K,大专,在校/应届,烟台雯粞智能科技,烟台,文化艺术/娱乐,0-20人,未融资,龙口市,东海旅游度假区,37.71453,120.445214,C++ 团队管理经验 听力残疾 言语残疾 Django MySQL Python,"['底薪加提成', '有无线网', '生日福利', '节假日加班费', '绩效奖金', '五险一金']",月薪,5500.0
Python,5-10K,本科,1-3年,瑶光智能科技有限公司,焦作,智能硬件,20-99人,未融资,解放区,东方红,35.241107,113.234211,Python Pandas Numpy MySQL,"['包吃', '餐补', '补充医疗保险', '住房补贴', '员工旅游', '全勤奖', '交通补助']",月薪,7500.0
Python,18-35K,本科,经验不限,华为,南京,计算机软件,10000人以上,不需要融资,雨花台区,安德门,31.976351,118.769995,Python Django MySQL Redis Oracle,"['绩效奖金', '年终奖', '免费班车', '夜班补助', '节假日加班费', '加班补助', '五险一金', '节日福利', '零食下午茶', '补充医疗保险', '员工旅游', '法定节假日三薪', '交通补助', '意外险', '保底工资', '定期体检', '企业年金', '股票期权', '带薪年假', '团建聚餐']",月薪,26500.0
Python,6-10K,本科,经验不限,凡玮,青岛,智能硬件,0-20人,未融资,黄岛区,辛安,35.999637,120.107798,软件工程师,[],月薪,8000.0
Python/Java,13-15K,大专,1-3年,慧博云通,北京,计算机软件,1000-9999人,已上市,海淀区,西北旺,40.076117,116.247265,Python Java Django Flask MySQL,"['五险一金', '节日福利', '定期体检', '补充医疗保险', '加班补助', '年终奖', '带薪年假', '股票期权']",月薪,14000.0
Python,4-7K,学历不限,1-3年,微末科技,石家庄,移动互联网,20-99人,未融资,桥西区,新火车站,38.000271,114.488791,Python 网络爬虫技术 人工智能,"['年终奖', '股票期权', '五险一金']",月薪,5500.0
Python,8-13K,大专,1-3年,河北挚诚建安科技,石家庄,其他专业服务,500-999人,未融资,长安区,谈固,38.045723,114.545213,Django PostgreSQL Python Flask,"['绩效奖金', '交通补助', '股票期权', '员工旅游', '补充医疗保险', '保底工资', '通讯补贴', '住房补贴', '工龄奖', '零食下午茶', '团建聚餐', '意外险', '节假日加班费', '加班补助', '生日福利', '五险一金', '节日福利', '定期体检', '底薪加提成']",月薪,10500.0
Python（AI方向）,10-15K,本科,3-5年,硅基引擎,深圳,人工智能,0-20人,天使轮,南山区,前海,22.529021,113.900539,Python PyTorch Flask Spark 爬虫经验 tiktok 短视频 RAG LLM,"['带薪年假', '保底工资', '团建聚餐', '年终奖', '员工旅游', '法定节假日三薪', '绩效奖金', '五险一金']",月薪,12500.0
Python,5-10K,大专,经验不限,北京闻夕科技,石家庄,移动互联网,100-499人,未融资,裕华区,师范大学,37.99634,114.513708,Python Java PHP Django PyTorch MySQL 爬虫经验,"['五险一金', '员工旅游']",月薪,7500.0
Python【agent+线上面试】,10-14K,本科,1-3年,然辰,合肥,计算机软件,500-999人,,蜀山区,经开区,31.75077,117.269899,agent AI大模型 Python,[],月薪,12000.0
python/Python（可线上面试）,8-13K,本科,经验不限,鑫燃科技,合肥,计算机软件,100-499人,未融资,,,31.75077,117.269899,Python Linux开发/部署经验 python agent,"['夜班补助', '加班补助', '年终奖', '五险一金']",月薪,10500.0
python后端,6-9K,大专,3-5年,华腾大数据,贵阳,计算机软件,0-20人,未融资,观山湖区,会展城,26.639501,106.645439,Python Django Flask Docker Nginx MySQL Redis 架构设计经验 分布式经验 微服务经验 量化交易开发经验 deepseek ai写代码 chatgpt,"['住房补贴', '员工旅游', '年终奖', '加班补助', '交通补助', '全勤奖', '餐补', '五险一金', '股票期权', '零食下午茶']",月薪,7500.0
python 开发经理,6-11K,本科,经验不限,众安,秦皇岛,信息安全,0-20人,,海港区,秦皇西大街,39.935539,119.530999,Docker MySQL MongoDB Linux开发/部署经验 Python,[],月薪,8500.0
python MySQL工程师,3-7K,本科,经验不限,鹏达软件,深圳,计算机软件,0-20人,不需要融资,龙岗区,双龙,22.728465,114.27182,MySQL SQL 网络爬虫技术 Linux SQL Server Flask 软件工程师 Visual Studio,['五险一金'],月薪,5000.0
python老师,3-6K,大专,1年以内,伊春市码小高教育科技,伊春,培训/辅导机构,0-20人,,伊美区,伊春区中心城区,47.727346,128.904824,Python C/C++,[],月薪,4500.0
Python,6-10K,大专,1年以内,太粮集团,东莞,其他行业,1000-9999人,不需要融资,,,22.902815,114.088294,无,"['加班补助', '带薪年假', '五险一金', '餐补', '节日福利', '年终奖', '员工宿舍', '员工旅游', '包住', '生日福利', '宿舍有空调']",月薪,8000.0
python/c++/java老师/工作氛围好/高薪,4-9K,大专,经验不限,北京乐博乐博,宁波,在线教育,1000-9999人,已上市,鄞州区,鄞州万达,29.827748,121.55527,网络编程 计算机软件 人工智能 机器人 大数据 Java,"['免费班车', '通讯补贴', '包吃', '带薪年假', '团建聚餐', '股票期权', '年终奖', '员工旅游', '生日福利', '五险一金', '节日福利', '免费工装']",月薪,6500.0
ai应用开发（python）,10-12K,本科,经验不限,华云科技,唐山,信息安全,20-99人,不需要融资,路北区,爱琴海,39.632886,118.167359,Python Django MySQL,"['五险一金', '零食下午茶', '加班补助', '员工旅游', '餐补', '法定节假日三薪', '生日福利', '定期体检', '节日福利', '通讯补贴', '带薪年假']",月薪,11000.0
Python（OdooMVC）开发工程师,6-9K,大专,经验不限,开源智造,潍坊,计算机软件,20-99人,未融资,奎文区,银座,36.71387,119.136582,Python MySQL PostgreSQL 接受实习/在校生投递,"['五险一金', '绩效奖金', '保底工资', '年终奖', '定期体检', '带薪年假']",月薪,7500.0
Python,3-6K,大专,经验不限,淘猫编程,蚌埠,培训/辅导机构,0-20人,,淮上区,淮上区政府,32.96862224362326,117.3483928752322,Python,"['带薪年假', '工龄奖', '宿舍有空调', '包住', '绩效奖金', '年终奖', '有无线网', '保底工资', '免费工装', '五险一金', '底薪加提成']",月薪,4500.0
Python 开发工程师,6-10K,本科,3-5年,云溪数科,襄阳,计算机软件,20-99人,不需要融资,樊城区,二汽,32.101421,112.191199,Python Elasticsearch TensorFlow Kafka Redis MySQL 架构设计经验,"['生日福利', '定期体检', '企业年金', '年终奖', '绩效奖金', '股票期权', '带薪年假', '五险一金']",月薪,8000.0
python后端开发工程师,7-12K,本科,5-10年,中恒科技,石家庄,通信/网络设备,100-499人,不需要融资,长安区,勒泰中心,38.044246,114.510979,Django MySQL VUE Redis bootstrap Flask Python,"['全勤奖', '加班补助', '节日福利', '餐补', '年终奖']",月薪,9500.0
信息安全管理/渗透测试/Java/python,20-30K,本科,5-10年,某银行公司,深圳,银行,20-99人,,,,22.502033,113.888943,无,[],月薪,25000.0
Python机器学习开发工程师,10-15K,大专,1-3年,河北华正,石家庄,智能硬件,100-499人,未融资,长安区,体育北大街,38.061276,114.510938,深度学习算法 自然语言处理 语音算法 Python Shell DNN CNN GBDT,"['全勤奖', '交通补助', '餐补', '带薪年假', '补充医疗保险', '免费工装', '节日福利', '加班补助', '通讯补贴', '员工旅游', '高温补贴', '年终奖', '保底工资']",月薪,12500.0
Python 后端开发,6-8K,本科,经验不限,巧不思,海口,互联网,0-20人,未融资,秀英区,西海岸,19.994621,110.262566,爬虫经验 团队管理经验 PyTorch Docker Django MySQL 运维开发经验 Redis Oracle Linux开发/部署经验 Python,['五险一金'],月薪,7000.0
服务端工程师(go/python),28-45K,本科,5-10年,某中型大数据上市公司,北京,大数据,500-999人,已上市,,,39.993306,116.473004,Python Golang Django Flask MySQL Redis 架构设计经验 AI平台、直播平台 视频研发、数字人方向,"['股票期权', '餐补', '年终奖', '补充医疗保险', '交通补助', '带薪年假', '零食下午茶', '五险一金', '节日福利', '通讯补贴', '定期体检']",月薪,36500.0
Python（短期2个月，外派至厦门）,16-20K,大专,5-10年,科鸿联智,广州,计算机服务,20-99人,,天河区,石牌,23.141982,113.334488,Python,"['节日福利', '有无线网', '团建聚餐', '带薪年假', '保底工资', '绩效奖金', '五险一金']",月薪,18000.0
Python老师,3-8K,大专,经验不限,粤多点教育,河源,培训/辅导机构,0-20人,未融资,,,23.753673,114.703898,Python C++ Python工程师 人工智能,"['节日福利', '交通补助', '股票期权', '带薪年假', '年终奖', '五险一金', '零食下午茶', '餐补', '员工旅游', '全勤奖', '通讯补贴']",月薪,5500.0
RPA工程师（ Python）,8-12K,大专,3-5年,笨鸟邦,天津,财务/审计/税务,500-999人,未融资,和平区,滨江道,39.128985,117.204357,网络爬虫技术 Scrapy Linux Django 多线程 多进程 容器技术 网络编程,"['员工旅游', '节日福利', '带薪年假', '零食下午茶']",月薪,10000.0
Python 算法工程师,6-10K,本科,3-5年,雄源科技,太原,计算机软件,0-20人,不需要融资,小店区,学府街,37.803007,112.553318,Python Java C++ Numpy Pandas MySQL Hadoop,[],月薪,8000.0
python,4-9K,本科,经验不限,智习,绍兴,培训/辅导机构,20-99人,未融资,诸暨市,永利吾悦广场,29.701084,120.264678,C++ Python Java 机器学习经验,"['保底工资', '有无线网', '团建聚餐', '底薪加提成', '零食下午茶', '生日福利', '员工旅游', '工龄奖', '五险一金']",月薪,6500.0
PYTHON/C++程序员,10-14K,本科,3-5年,卓圣自动化,武汉,计算机软件,0-20人,天使轮,江夏区,光谷,30.477441,114.421597,Python C++ Django Numpy Docker Kubernetes Nginx MySQL Redis MongoDB 架构设计经验 Linux开发/部署经验 微服务经验,"['生日福利', '保底工资', '餐补', '工龄奖', '高温补贴', '节假日加班费', '绩效奖金', '意外险', '法定节假日三薪', '零食下午茶', '带薪年假', '团建聚餐', '免费工装', '底薪加提成', '通讯补贴', '节日福利', '年终奖', '五险一金', '员工旅游']",月薪,12000.0
Python 开发工程师,13-18K,大专,3-5年,人瑞网络科技,广州,计算机硬件,10000人以上,,天河区,棠下,23.1543,113.337822,Python Flask MySQL Oracle,"['五险一金', '有无线网', '零食下午茶', '节日福利', '带薪年假']",月薪,15500.0
旅游 app Python 开发工程师,15-20K,本科,3-5年,聚猿创团队,杭州,计算机软件,20-99人,不需要融资,,,30.309563,120.258896,Python Golang Java Flask Django MongoDB MySQL 架构设计经验,"['全勤奖', '零食下午茶', '五险一金', '带薪年假', '节日福利', '年终奖', '员工旅游']",月薪,17500.0
Python 【IT 技术讲师】,6-10K,本科,3-5年,陕西厚溥,西安,计算机软件,1000-9999人,不需要融资,雁塔区,高新软件园,34.210884,108.833567,Python Pandas Numpy MySQL 业财一体化 用友 金蝶,"['年终奖', '五险一金', '住房补贴', '带薪年假', '加班补助', '交通补助', '节日福利', '员工旅游']",月薪,8000.0
python 工程师,12-19K,本科,经验不限,杭州橙风信息科技,杭州,计算机服务,20-99人,A轮,萧山区,奥体中心,30.239141,120.239876,Python PyTorch Docker MySQL 架构设计经验 Linux开发/部署经验 机器学习经验,"['绩效奖金', '带薪年假', '年终奖', '团建聚餐', '五险一金']",月薪,15500.0
python 直播讲师（五险一金）,10-15K,大专,1-3年,小猫爱学,长沙,培训/辅导机构,100-499人,未融资,岳麓区,麓谷,28.202034,112.861599,JS逆向 爬虫经验 PyTorch MySQL Python,"['零食下午茶', '生日福利', '底薪加提成', '带薪年假', '团建聚餐', '全勤奖', '五险一金', '节日福利']",月薪,12500.0
Python讲师,7-9K,本科,1-3年,源艺艺术,日照,培训/辅导机构,20-99人,,东港区,大学城,35.446322,119.547266,Python Pandas Redis,[],月薪,8000.0
python,6-11K,大专,1-3年,河北联思,石家庄,计算机软件,20-99人,未融资,桥西区,新石,38.025307,114.442204,Scrapy MySQL Python,"['节日福利', '五险一金']",月薪,8500.0
Python,18-35K,本科,经验不限,华为终端有限公司,长沙,互联网,10000人以上,不需要融资,岳麓区,望城坡,28.228729,112.874541,Python Django MySQL Redis,"['加班补助', '节日福利', '补充医疗保险', '免费班车', '年终奖', '股票期权', '通讯补贴', '节假日加班费', '定期体检', '生日福利', '带薪年假', '五险一金', '住房补贴', '意外险', '交通补助', '零食下午茶']",月薪,26500.0
Python,10-12K,本科,5-10年,烟台希萌网络科技,烟台,互联网,100-499人,未融资,莱山区,初家,37.468325,121.444715,爬虫经验 Pandas 架构设计经验 Python,"['咖啡畅饮', '解忧杂货铺', '猫咖', '节日福利', '生日福利', '带薪年假', '零食下午茶', '员工旅游', '法定节假日三薪', '加班补助', '年终奖', '五险一金', '绩效奖金', '团建聚餐', '节假日加班费']",月薪,11000.0
技术后端开发（python和php）,12-13K,大专,3-5年,河北米来呗科技,石家庄,其他金融业,20-99人,,裕华区,谈固,38.021359,114.55409,Python PHP Django MySQL 架构设计经验 云计算经验,"['保底工资', '带薪年假', '底薪加提成', '年终奖', '五险一金']",月薪,12500.0
Python,9-14K,本科,5-10年,骏驰天下,厦门,计算机软件,20-99人,天使轮,思明区,莲前,24.484077,118.195583,Python Nginx Oracle MySQL MongoDB 金融类项目,"['底薪加提成', '绩效奖金', '五险一金']",月薪,11500.0
Python,25-40K,本科,5-10年,某大型商业银行上市公司,广州,银行,1000-9999人,已上市,,,23.141979,113.326873,Python Kubernetes MySQL,"['节日福利', '餐补', '免费班车', '五险一金', '年终奖', '高温补贴', '补充医疗保险', '节假日加班费', '定期体检', '带薪年假', '法定节假日三薪', '免费饮品']",月薪,32500.0
Python（Flask）后端开发,10-12K,大专,3-5年,法本,武汉,计算机软件,10000人以上,已上市,洪山区,光谷东,30.491728,114.501978,Python Flask MySQL,"['五险一金', '企业文化', '零食下午茶', '带薪年假', '节日福利']",月薪,11000.0
少儿编程python老师,5-10K,大专,经验不限,正定赋能教育咨询,石家庄,生活服务(O2O),0-20人,,,,38.139182,114.567326,python 积极 学习能力强,[],月薪,7500.0
Python web开发,11-20K,大专,3-5年,彗零信息,上海,计算机软件,0-20人,,,,31.253268,121.601605,Python Django PyTorch TensorFlow MySQL MongoDB,[],月薪,15500.0
Python 工程师（AIGC 平台研发）,15-20K,本科,3-5年,268教育,北京,互联网,20-99人,A轮,昌平区,回龙观,40.1008226034151,116.3772701324184,PyTorch Django PostgreSQL MySQL Redis Numpy Python Flask TensorFlow,[],月薪,17500.0
Python,11-12K,大专,1-3年,北京纬创,深圳,计算机软件,1000-9999人,不需要融资,南山区,科技园,22.545463,113.947085,Python,"['员工旅游', '定期体检', '带薪年假', '零食下午茶', '节日福利', '五险一金']",月薪,11500.0
Python 软件工程师,6-9K,大专,1-3年,来因科技,潍坊,仪器仪表,20-99人,不需要融资,,,36.742457,119.173066,Python 机器学习经验 双休 项目奖金 不加班 节日福利,"['生日福利', '不加班', '团建聚餐', '五险一金', '每周双休', '底薪加提成', '零食下午茶', '员工旅游', '带薪年假', '加班补助', '节日福利', '免费工装']",月薪,7500.0
Python/Scratch/Wedo/C++编程老师高薪,10-15K,本科,经验不限,斯坦星球,上海,培训/辅导机构,500-999人,B轮,静安区,曹家渡,31.22945,121.428238,机器学习/算法工程 Python C/C++ 计算机相关专业 编程老师 Scratch Wedo搭建,"['年终奖', '节日福利', '五险一金', '绩效奖金', '团建聚餐', '定期体检', '生日福利', '带薪年假', '保底工资', '员工旅游', '底薪加提成']",月薪,12500.0
Python,11-17K,本科,经验不限,软通动力,广州,计算机软件,10000人以上,已上市,黄埔区,中心城,23.174175,113.484503,Python,"['加班补助', '生日福利', '团建活动', '五险一金', '补充医疗保险', '零食下午茶', '交通补助', '节日福利', '免费班车', '通讯补贴', '定期体检', '带薪年假']",月薪,14000.0
Python C++编程教师,4-9K,大专,经验不限,鄂尔多斯市东胜区...,鄂尔多斯,培训/辅导机构,100-499人,不需要融资,康巴什区,市一中美食,39.604599,109.767039,Python C++ Flask 其他 编程 机器人 人工智能,"['五险一金', '全勤奖', '年终奖', '股票期权', '带薪年假', '交通补助', '节日福利']",月薪,6500.0
Python 编程老师,4-9K,大专,1-3年,慧谷教育,马鞍山,在线教育,20-99人,未融资,,,31.672233,118.51689,Python,[],月薪,6500.0
Python（base广州）,16-20K,本科,1-3年,讯锡科技,深圳,计算机软件,1000-9999人,不需要融资,罗湖区,东门,22.540732,114.119453,Python Django MySQL,"['五险一金', '节日福利', '定期体检', '带薪年假', '零食下午茶']",月薪,18000.0
Python,16-17K,本科,3-5年,芜湖益寿泉,石家庄,医疗器械,500-999人,,新华区,水上公园,38.082321,114.459562,后端 Python,"['五险一金', '节日福利', '绩效奖金', '有无线网', '底薪加提成']",月薪,16500.0
Python,6-8K,本科,3-5年,新疆比尔扎楠商贸,乌鲁木齐,互联网,0-20人,不需要融资,天山区,碱泉,43.770725,87.680149,Python Java PHP 团队管理经验,['年终奖'],月薪,7000.0
python 开发工程师,10-13K,大专,1-3年,冬雨科技,上海,互联网,0-20人,,静安区,南京西路,31.227937,121.466396,爬虫经验 Django MySQL Redis 其他 Selenium Python Flask,"['团建聚餐', '五险一金']",月薪,11500.0
AI模型开发工程师  Python,5-10K,本科,1-3年,铄云科技有限公司,扬州,玩具/礼品,0-20人,,邗江区,京华城,32.385799,119.380613,Python C++ TensorFlow PyTorch MySQL PostgreSQL 分布式经验 深度学习算法模型数据,"['员工旅游', '餐补', '零食下午茶', '团建聚餐']",月薪,7500.0
python编程老师,5-8K,大专,1-3年,育美福达,石家庄,学前教育,500-999人,不需要融资,裕华区,裕兴,38.003521,114.542545,Python C/C++,"['调休', '带薪年假', '团建聚餐', '生日福利', '免费工装', '通讯补贴', '五险一金', '节日福利', '有无线网', '全勤奖', '员工旅游']",月薪,6500.0
资深 Python 工程师（AI语言学习方向）,20-40K,本科,经验不限,拾音教育,深圳,人工智能,0-20人,天使轮,福田区,上步,22.537128,114.102591,PyTorch 分布式经验 肢体残疾 听力残疾 微服务经验 机器学习经验 MongoDB 架构设计经验 视力残疾 Linux开发/部署经验 Python TensorFlow,"['带薪年假', '意外险', '有无线网', '股票期权', '五险一金', '底薪加提成', '员工旅游', '保底工资', '年终奖', '补充医疗保险', '零食下午茶', '宿舍有空调', '全勤奖', '定期体检']",月薪,30000.0
Python+不加班+集团公司,10-15K,大专,1-3年,挚诚莱皓,石家庄,企业服务,500-999人,不需要融资,长安区,谈固,38.045463,114.545218,MySQL Redis Python Flask,"['带薪年假', '团建聚餐', '绩效奖金', '企业年金', '员工旅游', '年终奖', '底薪加提成', '节日福利', '五险一金', '工龄奖', '定期体检', '保底工资', '意外险', '股票期权']",月薪,12500.0
Python后端开发工程师（双休、五险一金）,8-13K,本科,3-5年,习知科技,石家庄,互联网,20-99人,A轮,裕华区,东风,38.018358,114.517156,后端 机器学习/算法工程 Python Tornado Flask 计算机相关专业 Django WEB开发 Django框架,"['节日福利', '带薪年假', '五险一金', '交通补助', '定期体检', '零食下午茶', '意外险', '免费工装', '加班补助', '年终奖', '团建聚餐', '生日福利']",月薪,10500.0
Python（ai方向）,13-15K,本科,3-5年,恒生保泰,深圳,计算机软件,500-999人,不需要融资,罗湖区,东湖,22.577893,114.13443,分布式经验 微服务经验 Pandas MySQL AI API 大语言模型 Linux开发/部署经验 Numpy Python OCR,"['定期体检', '员工旅游', '带薪年假', '五险一金', '节日福利', '通讯补贴', '股票期权', '年终奖', '零食下午茶']",月薪,14000.0
Python（外包-同方有云）,11-15K,大专,3-5年,上海佩航能源,廊坊,智能硬件,10000人以上,,固安县,新中街,39.447483,116.260876,Django MySQL Redis Python Flask,[],月薪,13000.0
Python 实习生,1-2K,本科,经验不限,揉石科技,呼和浩特,计算机软件,0-20人,未融资,赛罕区,万达,40.835767,111.73473,Python MySQL 爬虫经验 Django Pandas Scrapy PyTorch Selenium,"['底薪加提成', '补充医疗保险']",月薪,1500.0
Python,12-13K,本科,3-5年,耀辰捷,武汉,计算机软件,100-499人,,汉阳区,沌口,30.510813,114.200994,Python Golang Django Flask Tornado MySQL Redis Oracle 架构设计经验 团队管理经验 Linux开发/部署经验,[],月薪,12500.0
python工程师（金融方向）,7-10K,大专,3-5年,浙江鸿汇资产管理,石家庄,证券/期货,100-499人,未融资,桥西区,中山西路,38.041713,114.478675,Python Pandas MongoDB 量化交易开发经验,"['带薪年假', '团建聚餐', '员工旅游', '节日福利', '补充医疗保险', '定期体检', '生日福利', '五险一金']",月薪,8500.0
Python 中级开发工程师,11-18K,本科,3-5年,武汉恒鑫元景电子科技,武汉,互联网,20-99人,,洪山区,珞狮南路,30.480875,114.345615,PostgreSQL MySQL 架构设计经验 Python Flask,"['五险一金', '带薪年假', '年终奖']",月薪,14500.0
python   c++教学,4-5K,大专,经验不限,东河区雷霆信息科...,包头,培训/辅导机构,0-20人,,东河区,和平路,40.588516,110.031262,Python C++,[],月薪,4500.0
python web软件开发,4-6K,本科,1-3年,核桃科技,郑州,计算机软件,20-99人,不需要融资,中原区,高新区,34.825816,113.55852,Python 后端开发 HTML/CSS,[],月薪,5000.0
Python/C++高级软件工程师,10-15K,本科,在校/应届,迪普智科,长沙,计算机软件,0-20人,未融资,岳麓区,银盆岭,28.218931,112.946658,C++ Python Linux开发/部署经验,"['员工旅游', '五险一金', '股票期权', '绩效奖金', '团建聚餐']",月薪,12500.0
